operation,input_size,time_ms
aes_encrypt,10kb,1.9250
aes_encrypt,10kb,1.7160
aes_encrypt,10kb,1.8190
aes_encrypt,10kb,1.5760
aes_encrypt,10kb,1.5400
aes_encrypt,10kb,1.4770
aes_encrypt,10kb,1.4850
aes_encrypt,10kb,1.3630
aes_encrypt,10kb,1.2960
aes_encrypt,10kb,1.3370
aes_encrypt,10kb,1.2320
aes_encrypt,10kb,1.2720
aes_encrypt,10kb,1.2050
aes_encrypt,10kb,1.2080
aes_encrypt,10kb,1.0750
aes_encrypt,10kb,1.0740
aes_encrypt,10kb,1.0920
aes_encrypt,10kb,1.0860
aes_encrypt,10kb,1.1040
aes_encrypt,10kb,0.9700
aes_encrypt,100kb,6.5200
aes_encrypt,100kb,6.1430
aes_encrypt,100kb,5.8770
aes_encrypt,100kb,5.8420
aes_encrypt,100kb,5.9800
aes_encrypt,100kb,5.8790
aes_encrypt,100kb,5.8780
aes_encrypt,100kb,5.8760
aes_encrypt,100kb,5.8820
aes_encrypt,100kb,5.8830
aes_encrypt,100kb,5.9450
aes_encrypt,100kb,5.8580
aes_encrypt,100kb,5.8680
aes_encrypt,100kb,5.8470
aes_encrypt,100kb,5.8860
aes_encrypt,100kb,5.8390
aes_encrypt,100kb,5.8850
aes_encrypt,100kb,5.8630
aes_encrypt,100kb,5.8460
aes_encrypt,100kb,5.8370
aes_encrypt,500kb,29.2770
aes_encrypt,500kb,29.3530
aes_encrypt,500kb,29.3350
aes_encrypt,500kb,29.4090
aes_encrypt,500kb,29.2470
aes_encrypt,500kb,29.3510
aes_encrypt,500kb,29.1910
aes_encrypt,500kb,30.0510
aes_encrypt,500kb,29.3880
aes_encrypt,500kb,29.3670
aes_encrypt,500kb,29.4000
aes_encrypt,500kb,29.2500
aes_encrypt,500kb,29.4260
aes_encrypt,500kb,29.5010
aes_encrypt,500kb,29.2860
aes_encrypt,500kb,29.3950
aes_encrypt,500kb,29.2730
aes_encrypt,500kb,29.4000
aes_encrypt,500kb,29.2150
aes_encrypt,500kb,29.3300
aes_decrypt,100kb,5.8820
aes_decrypt,100kb,5.8640
aes_decrypt,100kb,5.8700
aes_decrypt,100kb,5.8120
aes_decrypt,100kb,5.8520
aes_decrypt,100kb,5.8010
aes_decrypt,100kb,5.8610
aes_decrypt,100kb,5.8330
aes_decrypt,100kb,5.8700
aes_decrypt,100kb,5.8220
aes_decrypt,100kb,5.8660
aes_decrypt,100kb,5.8520
aes_decrypt,100kb,5.8050
aes_decrypt,100kb,5.8170
aes_decrypt,100kb,5.8680
aes_decrypt,100kb,5.9230
aes_decrypt,100kb,5.8520
aes_decrypt,100kb,5.8350
aes_decrypt,100kb,5.8650
aes_decrypt,100kb,5.8280
hkdf_sha256,kek_derivation,0.0630
hkdf_sha256,kek_derivation,0.0650
hkdf_sha256,kek_derivation,0.0630
hkdf_sha256,kek_derivation,0.0850
hkdf_sha256,kek_derivation,0.0630
hkdf_sha256,kek_derivation,0.0620
hkdf_sha256,kek_derivation,0.0960
hkdf_sha256,kek_derivation,0.0540
hkdf_sha256,kek_derivation,0.0970
hkdf_sha256,kek_derivation,0.0550
hkdf_sha256,kek_derivation,0.0530
hkdf_sha256,kek_derivation,0.1080
